name,color,edge,conv,temp
Pole1_2020-11-04_02-00-00.mp4,3.696568983812666,1.1627282532412828,244.72115722669395,38.44824832529636
Pole1_2020-11-04_03-00-00.mp4,24.615515629067254,6.878350669147213,447.86804164226356,143.97569232507973
Pole1_2020-11-04_04-00-01.mp4,73.73277796634889,20.66666572672506,2570.1192309092226,568.3473580606919
Pole1_2020-11-04_05-00-00.mp4,72.44284409733923,20.137916658255655,1585.5433176973472,342.7129313156521
Pole1_2020-11-04_06-00-00.mp4,22.279075980334472,6.282611366054625,2118.4803426500453,412.5854135428417
Pole1_2020-11-04_07-00-00.mp4,56.047202683733246,15.438141885592383,4325.478934279792,921.9942914387643
Pole1_2020-11-04_08-00-00.mp4,90.49743750013769,24.28323530686393,6422.555870195465,1116.006515832332
Pole1_2020-11-04_09-00-00.mp4,155.48938305570528,41.45082178661384,8634.031215316834,1650.4768075708255
Pole1_2020-11-04_10-00-00.mp4,108.89220439199272,32.31067258045603,5829.744981309034,1646.0897534607557
Pole1_2020-11-04_11-00-01.mp4,117.19976249770343,32.72678539605088,5850.81332773529,1559.0888367732296
Pole1_2020-11-04_12-00-00.mp4,157.16944483245283,47.68842542133513,8382.655977990798,2416.7412178621876
Pole1_2020-11-04_13-00-00.mp4,219.96191100860815,82.32525141260116,11242.427932336992,2223.773087981807
Pole1_2020-11-04_14-00-00.mp4,249.94686840139386,92.85302713603828,13173.387012447494,2633.787683365039
Pole1_2020-11-04_15-00-00.mp4,196.83983170234035,72.40459907969301,12372.760215401015,2565.2320273312835
Pole1_2020-11-04_16-00-01.mp4,134.56039837318195,40.928978854856,9892.618429500491,1994.193926250176
Pole1_2020-11-04_17-00-00.mp4,160.63131515838487,47.34362410445645,9316.87722254175,1808.0550412957
Pole1_2020-11-04_18-00-00.mp4,136.44224395279713,38.36167637001512,6509.37945840477,1242.5687294911152
Pole1_2020-11-04_19-00-00.mp4,110.07441561190831,29.61291188525652,5287.194722992819,1073.076115531325
Pole1_2020-11-04_20-00-00.mp4,83.35896151110944,22.034543256635413,4093.677094081742,803.8089077394022
Pole1_2020-11-04_22-00-00.mp4,60.51525399950373,15.814471181026938,2810.6879930949817,593.3884497883378
Pole1_2020-11-04_23-00-00.mp4,60.63698888137259,16.523351286314806,2364.0510883087622,489.17608962587707
Pole1_2020-11-05_00-00-00.mp4,11.309839785993073,3.152924350663722,368.2051109956242,72.55899813324149
Pole1_2020-11-05_01-00-00.mp4,18.855559195977,5.098622687151451,433.1801835759264,108.06351801832363
Pole1_2020-11-05_02-00-00.mp4,9.65968963645096,2.822562379545589,331.23613889053235,67.23129565549061
Pole1_2020-11-05_03-00-00.mp4,15.848956755194575,4.078965263741275,329.73328278816217,72.5279032020214
Pole1_2020-11-05_04-00-00.mp4,2.493071292136923,1.0619301881024406,213.95004260796247,40.374751982705355
Pole1_2020-11-05_05-00-00.mp4,17.417481623408058,5.015689458136912,847.349119851102,281.92259889803086
Pole1_2020-11-05_06-00-01.mp4,18.65868463008653,5.152630471461384,1556.6969144479751,384.47730677864223
Pole1_2020-11-05_07-00-00.mp4,54.11902062638804,16.148466104517322,4962.854328771228,1448.6676358498046
Pole1_2020-11-05_08-00-00.mp4,89.39608127718921,37.544434051171656,9607.46398572129,1854.362777936456
Pole1_2020-11-05_09-00-00.mp4,153.52414566939814,55.76690007307673,12141.202579284038,2734.2634363516304
Pole1_2020-11-05_10-00-01.mp4,175.9160198080086,63.07272267718006,10668.61149624191,2588.6272118901866
Pole1_2020-11-05_11-00-00.mp4,136.5744679259674,33.358607836723074,4643.662178436202,1009.5212609903093
Pole1_2020-11-05_12-00-00.mp4,196.8693598528513,61.16810560052997,8362.606424881325,1679.2745923845198
Pole1_2020-11-05_13-00-00.mp4,243.67140377223362,93.68793715670856,11758.416247712417,2940.511880530203
Pole1_2020-11-05_14-00-01.mp4,208.32272018874812,85.68264283040826,15786.45466151822,3583.472965306038
Pole1_2020-11-05_15-00-00.mp4,205.34062862198306,73.71661946379814,13956.845593368933,2712.1166691735684
Pole1_2020-11-05_16-00-00.mp4,108.69998434049946,30.71412356871055,7482.40791461002,1387.818577750321
Pole1_2020-11-05_17-00-00.mp4,113.77341006405834,30.954446142431134,4926.163710413019,1050.0229257229612
Pole1_2020-11-05_18-00-01.mp4,50.218444536895724,12.814011137861213,1926.6470268447683,314.7595541584492
Pole1_2020-11-05_19-00-00.mp4,32.85251413873397,7.710252241029352,1092.6094501353944,200.99524632273952
Pole1_2020-11-05_20-00-00.mp4,23.367387547998888,5.711203845839586,1233.8949004146423,253.2119831819772
Pole1_2020-11-05_21-00-00.mp4,37.073311167329805,9.339971899972173,1742.170825877245,313.3141986473611
Pole1_2020-11-05_22-00-02.mp4,34.26066610018484,8.44912157920682,1190.4650165829232,253.03124023135345
Pole1_2020-11-05_23-00-00.mp4,21.374313693916807,5.146633170434241,670.1873872739123,158.5400781606234
Pole1_2020-11-06_00-00-00.mp4,0.9558520369863429,0.21985426347950124,49.702512851434406,9.52107519770706
Pole1_2020-11-06_01-00-00.mp4,14.118841294091956,3.465685100752954,132.41762840322556,22.029718877633425
Pole1_2020-11-06_02-00-00.mp4,0.0,0.0,0.0,0.0
Pole1_2020-11-06_03-00-00.mp4,6.807825697060381,1.444869138780193,21.277732690932446,5.260945763430039
Pole1_2020-11-06_04-00-00.mp4,7.011462483973657,1.4571889674851983,35.71990048316401,8.117179068403024
Pole1_2020-11-06_05-00-00.mp4,3.2498747736153843,0.7924194940427755,125.01498643353452,23.242821260460815
