a_type,day_of_week,time_of_day,a_parameter,fps,bitrate,total_frame_number,name,time_consumption,target
people_counting,0,9,1,6,10,21602,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_09-00-00.mp4,920.0652115345001,6716
people_counting,0,10,1,6,10,21476,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_10-00-00.mp4,1025.2182898521423,4784
people_counting,0,11,1,6,10,15014,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_11-00-00.mp4,792.4334988594055,5147
people_counting,0,12,1,6,10,14598,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_12-00-00.mp4,735.4024004936218,6295
people_counting,0,13,1,6,10,19130,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_13-00-00.mp4,951.3965947628021,8495
people_counting,0,14,1,6,10,21109,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_14-00-01.mp4,1023.4851405620575,19059
people_counting,0,15,1,6,10,20913,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_15-00-00.mp4,1017.6282930374146,18513
people_counting,0,16,1,6,10,20716,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_16-00-01.mp4,1025.7849848270416,7989
people_counting,0,17,1,6,10,19502,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_17-00-01.mp4,1047.1440951824188,7892
people_counting,0,18,1,6,10,17809,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_18-00-00.mp4,960.7164657115936,3535
people_counting,0,19,1,6,10,16648,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_19-00-00.mp4,877.5431842803955,4185
people_counting,0,20,1,6,10,15504,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_20-00-01.mp4,828.5322706699371,5350
people_counting,0,21,1,6,10,11188,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_21-00-00.mp4,613.0007548332214,3150
people_counting,0,22,1,6,10,7884,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_22-00-00.mp4,448.3062903881073,1428
people_counting,0,23,1,6,10,6555,./storage_server_volume/converted_videos/6-10/2020-11-09_00-00-00/Pole1_2020-11-09_23-00-00.mp4,373.57732105255127,1438
people_counting,0,0,1,12,500,4417,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_00-00-00.mp4,340.4561834335327,299
people_counting,0,1,1,12,500,11694,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_01-00-00.mp4,702.3595597743988,1328
people_counting,0,2,1,12,500,10314,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_02-00-00.mp4,604.8043837547302,16
people_counting,0,3,1,12,500,20649,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_03-00-00.mp4,1115.819117307663,0
people_counting,0,4,1,12,500,16641,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_04-00-00.mp4,907.0367968082428,333
people_counting,0,5,1,12,500,18844,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_05-00-01.mp4,1033.5654165744781,641
people_counting,0,6,1,12,500,15202,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_06-00-00.mp4,788.976508140564,2680
people_counting,0,7,1,12,500,40092,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_07-00-00.mp4,1753.160696029663,5790
people_counting,0,8,1,12,500,43197,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_08-00-00.mp4,2161.120141983032,8776
people_counting,0,9,1,12,500,43202,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_09-00-00.mp4,2254.5270442962646,21911
people_counting,0,10,1,12,500,42953,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_10-00-00.mp4,2269.994034767151,18205
people_counting,0,11,1,12,500,30027,./storage_server_volume/converted_videos/12-500/2020-11-09_00-00-00/Pole1_2020-11-09_11-00-00.mp4,1518.759333372116,20402
